name,description,imgUrl,price,category
"Biodegradable Super Soft Black Sanitary Napkins - Small, Day Pads, Antibacterial, Ultra Thin & Rash Free Protection",10 pcs,https://www.bigbasket.com/media/uploads/p/l/40202384_2-sirona-biodegradable-super-soft-black-sanitary-napkins-small-day-pads-antibacterial-ultra-thin-rash-free-protection.jpg,1.59,Beauty & Hygiene
Pure Shilajeet Ras,500 ml,https://www.bigbasket.com/media/uploads/p/l/40205650_2-rock-gold-pure-shilajeet-ras.jpg,3.8,Beauty & Hygiene
Underarm Roll-On Deodorant For Women - Aloe Vera,2x50 ml,https://www.bigbasket.com/media/uploads/p/l/1220334_1-rexona-underarm-roll-on-deodorant-for-women-aloe-vera.jpg,1.87,Beauty & Hygiene
"Face Wash - Aloe Vera & Ginseng, For Acne & Oil Control, Natural & Toxin Free",100 ml,https://www.bigbasket.com/media/uploads/p/l/40175759_3-super-smelly-face-wash-for-acne-oil-control-aloe-vera-ginseng.jpg,2.79,Beauty & Hygiene
"Plant Based D3 & K2 Capsules - Whole Food, Rich In Nutrition",120 pcs,https://www.bigbasket.com/media/uploads/p/l/40227415_2-himalayan-organics-plant-based-d3-k2-capsules-whole-food-rich-in-nutrition.jpg,6.04,Beauty & Hygiene
24-Hour Protection Hand Sanitizer Spray - Germ Protection Against Bacteria & Viruses,100 ml,https://www.bigbasket.com/media/uploads/p/l/40231273_1-justhuman-24-hour-protection-hand-sanitizer-spray-germ-protection-against-bacteria-viruses.jpg,2.45,Beauty & Hygiene
Visible White Colgate Toothpaste - Sparkling Min,50 g,https://www.bigbasket.com/media/uploads/p/l/321686_20-colgate-visible-white-colgate-toothpaste-sparkling-min.jpg,0.88,Beauty & Hygiene
"Gum Expert - Advanced Ayurvedic Solution Toothpaste, With Turmeric Extract For Relief From Bleeding Gums",80 g,https://www.bigbasket.com/media/uploads/p/l/40227252_2-colgate-gum-expert-advanced-ayurvedic-solution-toothpaste-relief-from-bleeding-gums.jpg,1.01,Beauty & Hygiene
"Hair Serum - Anti Dandruff, Ginger & Tea Tree, Maintains Scalp pH Level, Removes Dead Skin Cells",200 ml,https://www.bigbasket.com/media/uploads/p/l/40237520_2-ustraa-hair-serum-anti-dandruff-ginger-tea-tree-maintains-scalp-ph-level-removes-dead-skin-cells.jpg,3.39,Beauty & Hygiene
Pearl Face Powder - Rosy Glow,40 g,https://www.bigbasket.com/media/uploads/p/l/40179630_5-gala-of-london-pearl-face-powder-rosy-glow.jpg,0.9,Beauty & Hygiene
Purifying Neem Face Wash,300 ml,https://www.bigbasket.com/media/uploads/p/l/40018854_4-himalaya-purifying-neem-face-wash.jpg,2.28,Beauty & Hygiene
Massage Cream - Badam,50 g,https://www.bigbasket.com/media/uploads/p/l/40082131_1-khadi-manav-massage-cream-badam.jpg,0.97,Beauty & Hygiene
